Postcode,Threshold1,Threshold2,Threshold3,Threshold4,CardsInForce0,CardsInForce1,CardsInForce2,Transactions,SpentAtMerchants,RetailTransactions,SpentAtRetailMerchants,DiningTransactions,SpentAtDiningMerchants,LodgeTransactions,SpentAtLodgeMerchants
1811,,x,,,411,144,267, -   , -   ,0,0,0,0,0,0
1835,,x,,,124,97,27, -   , -   ,0,0,0,0,0,0
1890,x,,,,230,189,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,,,x,,39304,15745,23559,"25,187,296","7,601,788,976.89",12438456,1161140638,3567595,311967934.6,600706,329749863.4
2001,,,x,,7644,2649,4995,"41,036","42,180,068.54",12660,822816.35,19273,814181.07,0,0
2002,x,,,,520,377,143,"5,502","778,984.85",4821,753752.16,681,25232.69,0,0
2003,x,,,,6,6,0,"2,813","1,327,389.45",2813,1327389.45,0,0,0,0
2004,x,,,,10,8,2,211,"21,974.10",0,0,211,21974.1,0,0
2005,,x,,,6,6,0,130,"8,535.65",0,0,0,0,0,0
2006,x,,,,66,59,7,"11,120","4,279,680.96",2615,1084772.67,1755,17751.2,0,0
2007,,,x,,2339,1922,417,"3,892,213","139,608,275.78",616875,50829293.79,48442,1580401.08,5152,1697566.91
2008,,,x,,2110,2014,96,"142,019","20,021,189.23",56975,6283130.999,64285,8755664.52,3938,1994084.76
2009,,,x,,7586,6268,1318,"1,242,969","445,010,240.63",446219,61854361.04,178161,23204747.01,27299,13217702.02
2010,,,x,,13484,12136,1348,"5,374,677","1,093,296,164.09",1045524,154165203.4,343018,35892904.37,38333,12773218.74
2011,,,x,,11209,10565,644,"837,009","145,950,139.80",536513,34172211.59,198290,36956636.02,23931,10402090.39
2012,,,x,,716,472,244,"63,664","2,546,477.72",61560,1715281.76,0,0,0,0
2013,x,,,,48,35,13,278,"63,941.43",278,63941.43,0,0,0,0
2014,x,,,,43,41,2,"87,049","4,291,873.37",86650,4216384.37,28,1516.4,0,0
2015,,,x,,4881,3969,912,"762,476","261,766,966.64",556065,223473116.3,73758,5780544.66,0,-22.29
2016,,,x,,4080,3965,115,"294,653","60,757,446.76",237265,53661786.92,22271,2598291.67,5,2430
2017,,,x,,6368,6123,245,"596,533","68,104,977.15",491252,53483520.04,63986,3793961.54,7009,3209578.22
2018,,,x,,3881,3647,234,"232,793","75,965,080.36",181349,44246694.7,26355,1641706.99,0,0
2019,,,x,,2714,2525,189,"222,249","56,847,325.17",77011,24585760.7,4236,1202775.85,296,32681.7
2020,,,x,,4257,3663,594,"7,987,410","3,142,016,503.68",973578,146820325.9,330374,6288464.25,58194,12464260.8
2021,,,x,,9866,9408,458,"371,706","86,881,169.37",224303,51850349.86,96113,9922955.37,3648,754407.17
2022,,,x,,6268,5956,312,"2,260,898","356,433,998.20",1759135,193371178.8,97262,4756849.99,7911,4573490.12
2023,,,x,,8094,7922,172,"68,626","22,410,480.51",53983,6416110.22,7772,385611.68,174,76184.25
2024,,,x,,5426,5325,101,"46,363","8,043,204.71",32276,4014020.41,8775,701177.97,0,0
2025,,,x,,6072,5905,167,"202,577","46,353,450.00",81607,17313574.79,46392,7848995.1,16060,2543283.16
2026,,,x,,14351,13967,384,"790,958","69,843,603.86",587113,42417083.93,158222,17363256.77,7764,3534551.29
2027,,,x,,8496,8260,236,"280,582","41,034,475.57",222798,15844673.88,9513,1581659.16,43,10031.99
2028,,,x,,4439,4283,156,"722,045","97,907,407.92",483495,57288810.4,120569,10693919.75,10090,6079384.46
2029,,,x,,7243,7071,172,"347,979","46,283,680.48",224963,17652171.07,37850,7157644.47,76,129820.07
2030,,,x,,11291,11007,284,"52,337","10,364,305.72",17353,3826001.11,30530,4103573.13,1129,528524.75
2031,,,x,,13425,13134,291,"604,692","57,468,752.93",458134,26790511.39,55157,9700672.11,1257,460262.77
2032,,,x,,4148,4078,70,"112,862","12,742,255.44",50546,7772632.38,33748,1164743.23,26,43850.43
2033,,,x,,3593,3518,75,"134,739","33,335,651.95",114633,31598786.64,4268,190339.81,144,28982.15
2034,,,x,,8437,8190,247,"191,540","16,340,327.22",111439,5577259.72,60708,4438097.48,9027,4205393.17
2035,,,x,,11413,11081,332,"593,810","38,448,195.06",494367,28195230.99,31685,981484.88,2150,151161.47
2036,,,x,,7169,6910,259,"544,300","51,138,632.84",485370,39449433.33,19943,1055963.33,0,0
