Postcode,Threshold1,Threshold2,Threshold3,Threshold4,CardsInForce0,CardsInForce1,CardsInForce2,Transactions,SpentAtMerchants,RetailTransactions,SpentAtRetailMerchants,DiningTransactions,SpentAtDiningMerchants,LodgeTransactions,SpentAtLodgeMerchants
2642,x,,,,325,315,10,838,"2,826,894.11",774,2821898.96,0,0,58,3954
2643,x,,,,138,138,0,"1,478","100,411.95",1280,78941.23,0,0,91,15424.29
2644,x,,,,214,212,2,"4,803","321,025.66",966,62575.71,4,82,335,42189.35
2645,,x,,,11,11,0,3,66.4,2,45.8,0,0,0,0
2646,x,,,,298,286,12,"18,984","1,344,547.88",15663,1029540.41,741,27637.65,369,80860.92
2647,x,,,,189,141,48,"1,266","162,974.97",35,1203.05,1088,138961.35,123,21357.81
2648,x,,,,72,70,2,"2,276","204,614.80",1469,64880.56,46,1609,23,3500.89
2650,,,x,,4763,4381,382,"284,786","26,321,655.27",224383,17632320.41,16415,762150.3,11138,2762227.53
2651,x,,,,89,68,21,"1,543","193,996.09",1507,193013.8,0,0,0,0
2652,x,,,,268,254,14,"2,732","173,987.32",2,63.98,0,0,81,13798.16
2653,x,,,,153,150,3,403,"43,862.95",118,10127.98,36,988.95,79,24634.98
2655,,x,,,89,82,7,30,"2,694.64",15,2456.84,13,182.3,0,0
2656,x,,,,64,61,3,382,"39,408.29",299,10655.14,1,26.3,0,0
2660,x,,,,86,80,6,213,"37,630.21",161,25258.4,0,15.16,23,10414.61
2661,,x,,,0,0,0,22,886.8,0,0,0,0,0,0
2663,x,,,,182,164,18,"4,206","306,963.62",3371,157797.11,145,6507.1,215,105472.6
2665,x,,,,106,95,11,123,"8,166.13",1,25.91,0,0,0,0
2666,x,,,,382,368,14,"18,667","1,362,078.31",13179,888634.01,1568,33341.1,255,49255.54
2668,x,,,,24,24,0,30,"16,950.04",0,0,0,0,0,0
2669,,x,,,67,67,0,1,30,0,0,0,0,1,30
2671,x,,,,234,224,10,"8,699","1,052,551.95",4536,336007.37,86,4984.86,730,259351.52
2672,x,,,,63,62,1,102,"26,191.97",8,11157.97,0,0,35,10181.48
2675,x,,,,69,64,5,94,"18,777.09",0,0,6,955.9,85,17385.18
2677,x,,,,4,2,2, -   , -   ,0,0,0,0,0,0
2680,,,x,,1861,1819,42,"89,872","8,228,025.20",70615,5596264.29,5177,214680.46,3598,927300.05
2681,,x,,,97,97,0,32,"1,913.84",31,1901.84,0,0,0,0
2695,,x,,,0,0,0,90,"24,364.71",86,7398.03,0,0,0,0
2700,x,,,,182,173,9,"11,229","766,075.36",5785,350953.32,223,8755.81,714,123787.68
2701,,x,,,121,118,3,288,"13,227.85",277,12168.66,0,0,0,0
2703,,x,,,18,18,0,43,"71,537.79",2,2885,1,73,4,5420
2705,x,,,,655,566,89,"22,348","1,759,497.41",12398,780161.38,2229,64134.94,1272,343332.28
2706,x,,,,59,58,1,631,"65,849.21",3,124.6,5,633.5,0,0
2707,x,,,,101,100,1,232,"12,161.28",168,7943.1,9,1071.59,0,0
2710,x,,,,625,603,22,"18,863","1,621,344.05",13727,933498.05,1353,48012.86,638,149026.91
2711,x,,,,226,226,0,"7,012","640,237.63",2609,193398.83,20,795.2,809,132292.42
2712,x,,,,56,55,1,294,"22,415.89",223,9003.88,0,0,10,1747.7
2713,x,,,,140,135,5,"2,210","395,847.37",1386,74244.39,24,2363.21,94,13324.85
2714,x,,,,153,150,3,"8,449","431,855.72",3953,180313.54,49,3307.8,64,13532.89
2715,x,,,,83,83,0,"1,430","133,465.11",121,4553.26,0,0,46,8003.6
2716,x,,,,74,71,3,"2,456","208,519.45",722,49477.89,0,0,40,10625.8
2717,x,,,,40,39,1,863,"42,286.97",239,8256.28,624,34030.69,0,0
2720,x,,,,403,394,9,"27,970","1,872,561.44",21551,1205018.33,1238,65855.57,597,179978.16
2722,x,,,,178,171,7,"37,640","1,971,342.29",4255,204463.47,7113,133010.75,810,116982.9
2725,,x,,,33,30,3,1,30,0,0,0,0,0,0
2726,x,,,,45,45,0,138,"9,511.72",0,0,0,0,0,0
2729,,x,,,113,111,2,3,60.9,0,0,0,0,0,0
2730,,x,,,75,70,5,34,"5,213.15",0,0,0,0,10,2501.15
2731,x,,,,520,504,16,"35,741","2,794,391.30",23260,1421336.57,4314,593359.23,1063,307076.33
2732,x,,,,104,97,7,"1,995","143,039.55",1835,113189.47,6,167.6,98,20004.24
2733,,x,,,42,42,0,48,"3,138.27",40,1466.01,6,1113.7,0,0
2734,,x,,,12,12,0,689,"41,832.51",0,0,689,41832.51,0,0
2736,,x,,,20,20,0,90,"13,832.40",0,0,0,0,90,13832.4
2737,x,,,,61,61,0,513,"64,153.86",0,0,193,10523.74,204,44824.4
2738,x,,,,150,145,5,539,"100,979.80",1,17,513,68224.02,2,272.8
2739,x,,,,66,64,2,"3,391","298,293.85",11,2443.4,188,30512.71,15,2285
2740,x,,,,0,0,0,693,"57,265.24",615,52956.94,0,0,0,0
2745,,,x,,3164,3009,155,"108,917","7,605,201.35",80932,5877321.18,4299,90023.35,995,237814.08
2747,x,,,,2578,2458,120,"95,957","7,447,385.37",63347,5379864.48,7468,157185.11,0,0
2748,x,,,,359,326,33,477,"665,026.25",81,49658.77,3,46.2,0,0
2749,,,x,,1078,1015,63,"8,091","811,798.61",4508,416782.65,0,0,0,0
2750,,,x,,3872,3557,315,"672,523","74,110,460.24",532190,55322810.96,49307,2081365.24,4635,2062513.86
2751,x,,,,348,224,124,"1,366","363,383.50",1186,86982.36,80,2423.2,0,0
2752,x,,,,428,403,25,"3,925","360,564.74",2510,205104.26,12,602,0,0
2753,,,x,,1685,1604,81,"127,147","12,002,235.76",108849,8041255.74,7795,145687.73,389,957200.83
2754,,,x,,646,630,16,"44,638","10,667,979.77",35379,4230939.01,104,8014.7,0,0
2755,x,,,,14,11,3, -   , -   ,0,0,0,0,0,0
2756,,,x,,3762,3569,193,"129,965","16,262,417.88",88441,12889928.54,11562,456848.28,2528,904893.41
2757,x,,,,199,191,8,"11,568","815,065.51",123,37008.48,348,56777.89,0,0
2758,,,x,,1416,1342,74,"1,543","234,948.08",1064,132805.65,289,21211.8,0,0
2759,,,x,,2293,2169,124,"71,631","39,050,095.08",56444,38259316.02,5390,103441.99,10,3115
2760,,,x,,1878,1660,218,"139,124","12,405,137.12",85044,8224675.27,14432,352240.43,159,54187.71
2761,,,x,,2673,2581,92,"98,332","8,185,571.70",58024,6083543.1,7850,128398.13,0,0
2762,x,,,,470,459,11,"33,766","1,895,190.39",33687,1893716.79,18,523,0,0
2763,,,x,,3953,3844,109,"33,237","1,421,461.03",3611,201371.52,4849,74890.16,0,0
2765,,,x,,2045,1857,188,"93,015","8,884,510.25",44192,5364268.49,5579,107443.63,311,98434.2
2766,,,x,,1346,1280,66,"69,241","6,852,330.63",7033,2487472.53,28329,542831.35,4026,1591660.01
2767,,,x,,2431,2379,52,"94,038","4,956,905.71",69114,3828525.85,2081,37285.38,0,0
2768,,,x,,5530,5388,142,"276,866","12,744,584.21",222604,9813781.15,16319,521050.2,64,18225.65
2769,,x,,,1884,1822,62,"91,880","4,372,640.29",90972,4316474.67,810,38089.69,0,0
2770,,,x,,2640,2556,84,"198,002","23,502,523.59",146240,12056167.73,19553,424606.9,40,13889.9
2773,x,,,,1176,1113,63,"6,152","666,313.81",1941,117032.26,1014,70892.3,0,0
2774,,,x,,1672,1630,42,"62,358","3,502,347.85",36852,2463683.32,11678,304122.35,0,0
2775,x,,,,214,211,3,"1,071","259,082.82",588,179679.36,78,9828.6,100,44009.85
2776,x,,,,498,479,19,"16,227","1,100,648.03",1653,211221.1,471,35676.87,55,13218.56
2777,,,x,,2359,2284,75,"104,471","6,926,118.19",91416,5554945.88,1477,77434.8,8,3340.72
2778,,x,,,315,307,8,73,"9,197.60",0,0,0,0,0,0
2779,x,,,,479,451,28,"4,877","187,688.95",3579,114367.84,10,357.7,0,0
2780,,,x,,2364,2303,61,"225,510","22,786,342.43",184630,12857012.94,6345,765235.75,16274,7154455.66
2782,x,,,,1294,1263,31,"20,161","1,202,714.84",12965,427581.54,768,41539.35,300,149657.5
2783,x,,,,284,279,5,"6,868","470,088.68",867,112673.23,146,8278.2,0,0
2784,,x,,,133,129,4,13,490.44,8,430.04,0,0,0,0
2785,x,,,,825,816,9,"7,339","1,021,438.23",5200,568337.01,652,81145.75,608,308435.21
2786,x,,,,170,165,5,"1,280","122,856.02",6,1035.3,1,330,149,53805.38
2787,x,,,,344,330,14,"1,413","118,586.89",18,2536.62,102,6057.65,101,33033
2788,,x,,,0,0,0,722,"36,581.45",722,36581.45,0,0,0,0
2790,,,x,,955,890,65,"63,678","8,732,134.91",33896,2431388.71,10394,193495.95,2886,4547010.03
2791,x,,,,23,23,0,6,"1,025.00",0,0,5,966,1,59
2792,,x,,,35,35,0,6,570.2,4,547,0,0,0,0
2794,x,,,,701,688,13,"36,710","2,798,253.08",26263,1945835.53,3896,105038.21,709,125813.32
2795,,,x,,3374,3094,280,"186,311","18,327,053.75",135510,12194174.39,12784,475361.5,4950,1535291.89
2797,,x,,,37,35,2, -   ,-1.23,0,0,0,0,0,0
2798,x,,,,180,177,3,624,"196,228.94",249,43701.14,305,100599.19,61,51373.66
2799,x,,,,222,206,16,"4,872","306,455.58",3076,174710.76,96,4175.2,85,14764.2
2800,,,x,,3924,3781,143,"233,388","23,550,562.30",186952,14101009.58,14817,1172568.75,7881,2288433.3
2802,x,,,,1,0,1,167,"228,839.45",167,228839.45,0,0,0,0
2803,,x,,,20,20,0, -   , -   ,0,0,0,0,0,0
2804,x,,,,186,180,6,"1,269","233,543.15",103,13513.65,39,7343,45,9981.5
2805,,x,,,15,15,0,8,240.3,0,0,8,240.3,0,0
2806,,x,,,33,29,4,10,493.2,9,479.2,0,0,0,0
2809,,x,,,18,17,1,1,30.95,0,0,0,0,0,0
2810,x,,,,217,212,5,"1,311","68,721.03",1194,60273.33,0,0,0,0
2816,,x,,,1,0,1, -   , -   ,0,0,0,0,0,0
2820,x,,,,287,283,4,"8,866","547,060.18",6087,366899.62,1715,45946.87,54,11626.4
2821,x,,,,259,248,11,"7,309","463,061.36",6697,419724.65,62,4105.13,17,3344.05
2823,,x,,,82,79,3,110,"4,204.11",106,4138.71,0,0,1,25
2824,x,,,,186,171,15,"2,061","152,469.11",1919,127350.56,3,54.8,74,17230.82
2825,x,,,,159,150,9,"2,913","384,349.33",1593,96920.63,4,64.9,165,33395.32
2827,x,,,,114,108,6,"4,640","346,881.23",2015,112985.34,71,2972.6,167,24645.88
2828,x,,,,53,53,0,"3,141","375,785.77",1,23.5,3139,375691.72,0,0
2829,x,,,,189,183,6,672,"77,906.00",50,6563.58,9,403,174,32351.56
2830,,,x,,2958,2820,138,"211,735","19,085,410.01",158719,12764866.58,14011,519800.63,8412,1985044.8
2831,x,,,,110,106,4,33,"4,173.05",27,1981.05,0,0,3,422
2832,x,,,,179,174,5,"1,766","199,177.35",1319,103936.31,41,6060.03,128,25195.8
2833,,x,,,36,36,0,16,"2,062.55",16,2062.55,0,0,0,0
2834,x,,,,181,179,2,"5,086","417,850.07",3820,259270.51,56,1197.6,538,106446.63
2835,x,,,,157,150,7,"4,497","561,338.73",354,60674.73,313,21944.48,720,256474.42
2836,,x,,,42,42,0,30,"3,834.00",11,1835,0,0,10,1288.5
2839,,x,,,30,30,0,15,658,9,178,3,54,2,420
2840,x,,,,121,115,6,"2,516","325,077.46",1397,123425.08,351,13897.4,672,179921.37
2842,,x,,,18,17,1, -   , -   ,0,0,0,0,0,0
2843,x,,,,148,147,1,320,"18,050.59",5,502.9,0,0,0,0
2844,x,,,,90,88,2,60,"5,133.35",1,42.45,20,1647.1,34,3333.5
2845,x,,,,108,95,13,335,"89,672.09",19,1200.9,11,643.4,287,86960.82
2846,x,,,,17,17,0,"1,309","106,305.79",1138,93560.49,0,0,27,4276.99
2847,,x,,,91,91,0,321,"240,374.89",1,40,8,339.8,0,1.85
2848,x,,,,61,56,5,"1,192","62,690.76",1093,50500.84,1,14.5,20,8010.71
2849,x,,,,172,165,7,198,"30,057.67",184,29552.31,6,235,1,120
2850,,,x,,1597,1525,72,"96,049","9,055,286.38",73215,5983593.28,5305,543564.75,3950,979133.52
2852,x,,,,173,168,5,"2,415","189,356.80",1814,75184.83,3,487,422,103266.82
2864,x,,,,51,51,0,86,"33,549.41",85,33448.51,0,0,0,0
2865,,x,,,42,41,1,47,"2,375.32",0,0,0,0,0,0
2866,x,,,,231,229,2,"1,008","83,205.00",158,6400.02,92,16588.17,16,5351
2869,x,,,,83,83,0,713,"62,190.42",0,0,0,0,27,4752.3
2870,x,,,,608,577,31,"41,056","3,906,944.70",27851,2067480.23,3501,86177.52,1687,434691.6
2871,x,,,,503,479,24,"23,721","2,280,432.48",16989,1303729.16,1347,20598.46,689,199288.21
2875,,x,,,38,38,0, -   , -   ,0,0,0,0,0,0
2877,x,,,,253,251,2,"1,213","241,153.71",343,19373.18,70,13945.61,137,32087.49
2879,,x,,,17,17,0, -   , -   ,0,0,0,0,0,0
2880,,,x,,1275,1234,41,"49,625","4,318,666.00",35307,2838594.25,3940,191369.89,2488,598814.84
2888,,x,,,0,0,0,258,"4,840.15",0,0,258,4840.15,0,0
2898,x,,,,174,165,9,898,"1,077,096.12",61,7222.4,6,416.95,489,1057563.01
2899,x,,,,489,489,0,"1,093","356,188.30",775,216014.88,61,8125.51,143,104193.55
2900,,,x,,494,483,11,"309,611","19,489,380.61",269232,16736449.65,16823,391177.71,1438,776063.96
2901,,x,,,232,206,26,646,"66,608.71",117,27471.24,418,4124.67,0,0
2902,,,x,,2963,2902,61,"31,049","1,589,996.98",25624,1226875.24,878,29482.38,200,11655.72
2903,,,x,,1934,1899,35,"120,516","6,041,173.54",88719,4423684.04,9483,218284.22,0,0
2904,,,x,,2972,2902,70,"1,459","397,803.84",1377,58801.88,7,255.98,0,0
2905,,,x,,3941,3853,88,"81,116","4,492,052.65",71087,3458698.39,753,32557.88,0,0
2906,,,x,,2462,2394,68,"20,918","979,259.12",3663,191661.46,4824,75027.48,0,0
2911,x,,,,810,753,57,"36,263","5,460,645.51",32449,5222588.18,2005,92687.91,0,0
2912,,,x,,1146,1107,39,"381,876","23,386,220.47",304358,19336788.96,29467,622820.91,498,156247.51
2913,,,x,,5428,5297,131,"54,593","2,437,810.47",36095,1649367.28,11317,234092.19,0,0
2914,,,x,,3373,3294,79,"38,555","1,275,250.28",36596,1176625.26,1125,55809.2,8,2650
3000,,,x,,21577,8690,12887,"13,186,844","2,821,865,398.34",3143847,434809322.9,1461682,132226481.1,318353,136126888.6
3001,,,x,,6671,866,5805,"73,668","16,925,529.07",51436,4021268.05,4875,233483.96,0,0
3002,,,x,,2660,2397,263,"331,497","97,139,564.44",57124,12308954.49,22345,2336105.04,28070,13246626.04
3003,,,x,,1238,1096,142,"462,636","108,348,491.62",85051,14293585.66,2687,415954.96,429,81211.36
3004,,,x,,6798,5069,1729,"860,947","295,057,008.56",200735,36443995.32,112894,12668254.6,39052,15022361.38
3005,x,,,,174,20,154,"6,007","1,903,627.97",64,43796.31,3652,473571.04,2275,1361970.07
3006,,,x,,7890,5646,2244,"1,627,515","316,430,718.10",383244,93381154.84,366782,58373600.24,119478,76340199.47
3007,x,,,,8,6,2,"4,700","1,113,260.82",4700,1113260.82,0,0,0,0
3008,,,x,,4159,3171,988,"976,316","150,008,280.78",654843,117506382.1,223899,10015425.84,23527,11972485.69
3010,x,,,,57,51,6,"2,579","816,289.26",2,80,654,7491.06,0,0
3011,,,x,,2713,2634,79,"196,181","17,847,089.05",136272,11055803.31,20726,1156127.41,191,57625.16
3012,,,x,,3278,3079,199,"78,327","19,878,393.61",30211,5336092.06,6431,203481.3,0,0
3013,,,x,,2538,2422,116,"155,539","12,570,713.16",132586,10808041.2,14702,707594.21,0,0
3015,,,x,,3071,2891,180,"51,384","38,514,981.79",4973,870271.75,2552,163893.18,0,0
3016,,,x,,4135,3945,190,"240,641","17,206,820.53",206755,12402028.51,16996,1633254.73,1677,874696.79
3018,,,x,,1943,1607,336,"127,271","23,076,631.10",102477,15309490.03,12814,326390.44,0,0
3019,x,,,,761,738,23,"76,927","5,571,690.69",67002,4925547.62,1208,28077.3,313,113999.48
3020,,,x,,3221,2912,309,"195,297","27,671,626.60",133232,23645675.44,18133,916448.68,6,1048
3021,,,x,,2974,2891,83,"100,753","4,647,272.37",62814,2722407.6,3733,122619.56,9,1443.28
3022,,,x,,326,324,2,"67,309","4,448,890.35",21882,2448601.96,14292,171366.67,221,57312.32
3023,,,x,,5623,5429,194,"328,854","21,500,629.59",256659,17131635.88,31852,1037635.72,1833,724897.21
3024,,,x,,1362,1321,41,"28,496","1,161,220.17",17373,750993.18,3970,61484.38,0,0
3025,,,x,,1267,1060,207,"168,696","11,746,142.52",140296,9501234.39,3023,151847.18,0,0
3026,x,,,,160,74,86,"46,374","16,539,313.58",10584,11727468.28,6965,109685.87,58,12600.25
3027,x,,,,1076,1046,30,"71,072","4,044,659.08",70286,3967251.77,702,18892.71,83,58404.6
3028,,,x,,2620,2447,173,"153,440","9,773,213.19",74515,4486339.01,10201,181673.68,16,2576.76
3029,,,x,,7135,6895,240,"471,032","51,504,339.83",351344,41203763.79,25960,455252.37,108,35965.95
3030,,,x,,11512,11013,499,"836,617","52,035,897.46",692122,41271938.24,40388,1181737,2785,1229200.43
3031,,,x,,3283,3170,113,"320,275","41,335,128.19",224376,18724692.18,32800,14245726.68,318,270037.29
3032,,,x,,5401,5241,160,"680,104","69,204,220.81",633082,65073610.47,27747,1397899.32,489,32904.87
3033,,,x,,1789,1707,82,"65,962","4,289,534.07",49955,3366176.69,411,15072,0,0
3034,,,x,,1439,1402,37,"61,309","3,124,255.57",53461,2893600.72,6443,91547.98,0,0
3035,,x,,,6,6,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3036,,,x,,1188,1155,33,"33,464","2,677,562.60",2369,235618.6,5659,241046.2,124,35778.14
3037,,,x,,4344,4199,145,"220,026","12,133,527.90",167597,9526315.62,11236,165497.32,33,20959
3038,,,x,,3482,3368,114,"483,983","31,332,094.66",385876,25560299.1,16458,459135.59,961,213356.08
3039,,,x,,3316,3165,151,"370,955","26,110,297.49",296794,17477831.73,16037,2489140.26,386,263639.93
3040,,,x,,5699,5388,311,"150,837","14,744,346.39",121173,7625436.17,13480,1174057.98,898,464430.13
3041,,,x,,2719,2422,297,"290,048","35,820,087.81",249242,32470753.39,17852,661108.34,226,97922.95
3042,,,x,,2229,2011,218,"385,407","41,982,557.80",310990,34188941.35,18585,426771.47,64,11085.64
3043,,,x,,2372,2058,314,"722,071","91,962,891.15",525208,57477288.35,51562,832841.68,8506,1891336.63
3044,,,x,,3262,3142,120,"82,881","4,998,554.89",12331,1405512.06,9820,161454.48,0,0
3045,x,,,,58,2,56,"369,605","22,035,714.37",71629,8383086.97,145633,2110490.01,18552,5331470.67
3046,,,x,,2763,2650,113,"106,331","7,083,213.71",83017,5956644.45,6526,104479.44,0,0
3047,,,x,,783,710,73,"232,984","17,663,141.31",203300,16283667.91,7914,113760.59,0,0
3048,x,,,,861,771,90,"17,233","3,480,906.56",13100,3171784.91,8,207,11,1644.8
3049,,,x,,1007,950,57,"34,414","2,406,736.16",9562,693954.98,1286,91100.9,2102,424330.8
3050,x,,,,71,68,3,"3,703","500,477.98",957,111816.03,1862,166984.68,0,0
3051,,,x,,2554,2388,166,"233,423","25,891,395.62",58084,11756112.52,20809,1628246.46,1389,420432.47
3052,,,x,,1346,1281,65,"75,606","14,196,708.50",49236,5358484.65,14030,239330.67,2864,1071410.27
3053,,,x,,2960,2615,345,"376,633","41,951,207.94",244230,16376626.82,80811,7228624.32,4864,1675247.62
3054,,,x,,2446,2391,55,"21,984","3,376,202.51",10249,1816210.89,8582,1049656.17,275,91652.56
3055,,,x,,2113,2057,56,"58,061","3,001,548.33",47060,1931160.1,357,27508.6,0,0
3056,,,x,,3804,3639,165,"326,010","30,480,802.40",299107,27660028.84,16129,775415.19,463,88640.66
3057,,,x,,1890,1811,79,"68,977","6,374,781.34",14590,2055882.58,20651,2098568.33,608,27194.55
3058,,,x,,4159,4016,143,"353,720","26,389,675.77",282948,21391787.73,7604,343803.48,0,0
3059,,,x,,2271,2138,133,"55,787","3,906,937.50",48272,2832479.02,28,627.5,0,0
3060,,,x,,767,715,52,"34,864","2,712,695.06",7439,1368417.64,6338,99754.69,543,128446.6
3061,,,x,,621,376,245,"94,581","29,185,967.15",74588,22467281.53,3163,73371.87,5,2438.45
3062,x,,,,174,104,70,"30,799","9,576,780.99",21960,8865442.56,471,19407.55,0,0
3063,x,,,,82,80,2,891,"399,425.43",746,236040.8,4,1033.4,0,0
3064,,,x,,4662,4410,252,"297,467","16,913,811.47",203007,12129326.92,23048,637381.39,0,0
3065,,,x,,2643,2488,155,"295,605","36,150,995.29",190956,18845192.06,66141,7546531.17,2130,880649.8
3066,,,x,,1973,1734,239,"399,605","87,567,529.50",216957,33385249.2,37487,3377488.54,464,45888.38
3067,,,x,,2407,1934,473,"191,736","31,546,177.36",125442,22174336.93,23610,1857598.84,1180,580699.97
3068,,,x,,4800,4599,201,"133,116","14,075,785.48",84333,8117294.63,18531,2162190.32,2,975.59
3070,,,x,,4172,3981,191,"217,717","14,497,569.45",185018,11089023.97,8422,1320139.02,0,0
3071,x,,,,2377,2285,92,"28,676","3,676,404.07",8218,2178249.21,5037,241900.83,145,51431.81
3072,,,x,,4104,3748,356,"681,054","71,400,765.28",543507,61157494.87,43102,1330277.06,3694,1892578.06
3073,,,x,,4207,4012,195,"130,961","8,704,579.19",101769,5900740.14,5066,209519.2,83,24198.31
3074,,,x,,1663,1416,247,"124,694","26,062,197.46",52153,20136540.69,13373,257594.22,11,2785
3075,,,x,,1354,1313,41,"57,567","2,526,120.23",56292,2427756.21,658,17288.77,0,0
3076,,,x,,2540,2370,170,"268,957","17,017,222.94",213880,14042530.63,22789,773650.08,0,0
3077,,x,,,7,2,5, -   , -   ,0,0,0,0,0,0
3078,,,x,,2295,2211,84,"113,573","16,864,942.69",66578,12801650.12,6952,401771.79,34,29990.92
3079,,,x,,4797,4613,184,"218,560","30,321,182.81",200918,18155999.17,8208,769345.8,591,335724.67
3081,,,x,,1293,1218,75,"33,981","5,048,555.78",2908,1921593.35,9481,156403.11,0,0
3082,,,x,,2822,2670,152,"194,385","11,269,264.17",143558,7478138.81,17992,339550.13,139,40022.31
3083,,,x,,4043,3892,151,"325,543","25,451,407.43",251754,15072675.72,16516,445411.47,593,310401.36
3084,,,x,,5632,5419,213,"254,816","59,896,654.06",198458,55502664.72,25829,742539.31,3,342
3085,,,x,,2090,2023,67,"89,549","5,154,717.38",64434,4087538.69,8319,119374.04,107,26866.35
3086,,x,,,20,20,0,342,"107,044.54",121,11894.77,98,3528.9,0,0
3087,,,x,,994,930,64,"15,378","845,418.12",8926,487548.14,614,25193.65,0,0
3088,,,x,,3833,3682,151,"457,544","27,187,053.94",409567,23098208.23,14118,430935.26,0,0
3089,,,x,,1523,1448,75,"89,928","6,159,964.05",70530,4947082.23,6320,166980.39,0,0
3090,x,,,,493,457,36,"31,796","1,962,336.57",1257,234388.29,492,73594.58,0,0
3091,x,,,,331,297,34,419,"42,189.31",173,18461.41,133,12991.92,0,0
3093,x,,,,1018,981,37,"7,698","519,208.15",2437,93410.77,4123,226483,0,0
3094,,,x,,1331,1295,36,"23,497","1,120,480.56",18072,851282.69,1725,53343.81,0,0
3095,,,x,,5876,5632,244,"321,925","25,811,653.61",229155,17523086.48,20968,902155.73,157,46779.75
3096,x,,,,213,209,4,38,"4,996.95",38,4996.95,0,0,0,0
3097,x,,,,372,368,4,100,"6,973.55",85,6543.9,5,137.26,0,0
3099,x,,,,593,557,36,"1,552","181,081.89",846,48351.7,302,14603.81,0,0
3100,x,,,,7,6,1,326,"38,106.97",326,38106.97,0,0,0,0
3101,,,x,,10549,10166,383,"417,962","67,082,801.40",300833,23461905,27725,4263269.88,4727,3185399.97
3102,,,x,,2268,2137,131,"79,811","8,418,137.28",21080,2564760.76,6736,762749.26,0,0
3103,,,x,,6468,6261,207,"324,653","23,844,119.11",225368,14992461.33,26247,935466.96,0,0
3104,,,x,,7744,7515,229,"130,922","9,398,520.54",120867,7023438.56,5457,296102.04,0,0
3105,,,x,,2923,2812,111,"154,764","10,696,303.43",96226,7120848.54,5134,180132.82,0,0
3106,,,x,,6064,5917,147,"187,778","10,829,620.41",129523,6819372.99,12858,1318409.96,0,0
3107,,,x,,4061,3965,96,"57,532","5,416,961.90",9569,548348.2,8464,850533.61,0,0
3108,,,x,,6429,6223,206,"1,509,579","141,986,445.98",1329478,119850249.3,61241,2640088.08,405,226099.97
3109,,,x,,8307,8102,205,"371,450","28,171,279.99",245499,20121357.73,33241,1099744.84,884,339700.75
3111,,,x,,3483,3388,95,"171,089","10,150,013.40",162346,9490464.88,469,24650.13,0,0
3112,,x,,,33,33,0,"1,617","36,354.75",0,0,1617,36354.75,0,0
3113,,,x,,1955,1892,63,"27,340","3,438,487.83",23397,2875264.59,1452,244972.52,1836,196695.9
3114,x,,,,1089,1028,61,"5,323","595,421.34",31,6460.16,8,232.9,0,0
3115,x,,,,825,792,33,"1,037","128,390.42",598,77515.41,125,12991.99,0,0
3116,,,x,,1297,1248,49,"246,093","16,524,561.77",216843,13700939.67,4372,186460.99,1580,814995.09
3118,,x,,,23,23,0,106,"12,874.22",106,12874.22,0,0,0,0
3120,x,,,,10,9,1,538,"23,266.47",538,23266.47,0,0,0,0
3121,,,x,,9640,8413,1227,"1,221,348","320,190,362.28",865609,108089381.8,151566,13617235.47,6224,1759694.05
3122,,,x,,8979,8161,818,"1,106,684","114,814,923.84",896519,63099967.88,65174,5315600.01,2365,947224.4
3123,,,x,,5052,4790,262,"272,884","297,046,696.43",221965,267026122.5,18747,2825123.75,1493,212752.23
3124,,,x,,9382,8943,439,"703,380","94,726,168.49",550363,55014535.41,24714,1799891.88,0,0
3125,,,x,,3590,3374,216,"58,708","35,519,936.85",15712,27926642.88,4927,122819.86,271,140667.29
3126,,,x,,4173,3981,192,"15,484","9,083,786.54",10305,5604693.94,1068,54257.33,0,0
3127,,,x,,6426,6242,184,"68,282","15,723,603.83",15870,7166533.01,6573,337295.44,624,265142.75
3128,,,x,,4319,4071,248,"599,914","37,024,262.73",539879,30630408.86,17783,585134,1086,464854.33
3129,,,x,,4202,4110,92,"80,866","5,000,506.81",73372,3800460.03,1900,49580.86,489,265639.71
3130,,,x,,7680,7302,378,"334,187","28,032,964.83",241507,21102620.99,24179,571410.25,199,105162.05
3131,,,x,,4793,4322,471,"720,381","75,438,110.66",560293,67136776.65,48195,1385259.4,1210,593605.5
3132,,,x,,3318,3180,138,"126,382","10,018,284.42",110287,8316387.16,6126,473497.95,338,104984.3
3133,,,x,,5897,5758,139,"424,410","26,048,450.03",322695,20744511.41,13808,335452.63,0,0
3134,,,x,,5827,5511,316,"925,255","84,865,069.29",771727,74226366.67,35279,1741866.41,201,170435.81
3135,,,x,,2856,2780,76,"116,456","7,164,931.90",73997,3624083.39,4279,180835.8,0,0
3136,,,x,,5533,5285,248,"282,531","22,127,907.25",231374,17957261.48,15871,476695.76,92,41636.89
3137,,,x,,1168,1077,91,"69,922","14,801,948.68",48153,13123441.87,5139,90468.11,4,-15901.78
3138,,,x,,2133,2035,98,"101,541","8,135,686.10",88601,6121472.66,4835,120826.31,0,0
3139,,,x,,930,884,46,"35,296","2,386,059.74",22293,1351853.22,640,113982.71,8,1782.53
3140,,,x,,1719,1631,88,"144,176","11,301,809.51",110633,8435824.52,7984,194278.79,120,40595.38
3141,,,x,,10429,9809,620,"708,895","103,142,947.52",453783,45581220.95,161407,19093450.5,26136,10908908.53
